,H=5,H=6,H=7,H=8,H=9,H=10,H=11,H=12,H=13,H=14,H=15
2017-07-24,65.25882212027507,65.26455744877532,65.26829912457211,65.269029019927,65.26927720747054,65.26940612105054,65.2694675172529,65.26948555653246,65.26949128750577,65.26949616384591,65.26949776672302
2017-07-25,65.24389486548439,65.24908904211242,65.25245876668366,65.25311200430197,65.2533309020972,65.25344505847931,65.25349725150559,65.25351310146269,65.25351778705308,65.2535218017832,65.25352309903944
2017-07-26,65.06371905212347,65.06754424636216,65.06998518071984,65.07044339800575,65.07059310807088,65.07066590970348,65.07070348207235,65.07071229541415,65.07071421351,65.07071607822189,65.07071669019636
2017-07-27,65.18664760691753,65.19037509396452,65.19295627207262,65.19340991107309,65.19356773086031,65.19363898613454,65.19367823195759,65.1936867052664,65.1936885197275,65.19369017682463,65.19369073880124
2017-07-28,64.91773671311412,64.92069662100616,64.92360981385345,64.92404673475338,64.9242172958839,64.92430044061274,64.92433672957654,64.92434511148937,64.92434703361349,64.92434910848579,64.92434970944373
2017-07-31,64.88071073523237,64.88478336602421,64.88767563552435,64.88818922897012,64.88840498912649,64.88850053053287,64.88853531715523,64.88854276867976,64.88854502542826,64.88854704211504,64.88854782209047
2017-08-01,64.86141916576949,64.8652876909025,64.86761673754248,64.86810635361734,64.86829864628407,64.86837071663551,64.86839379549117,64.8683989881965,64.86840116013627,64.86840253062702,64.8684031223633
2017-08-02,64.88865576246533,64.89265954534062,64.89485975338928,64.89523294268443,64.89538737533684,64.89545504726789,64.89547304090759,64.89547756175504,64.89547927571428,64.89548042990599,64.89548082364904
2017-08-03,65.03038794897115,65.03575355766819,65.0376984424179,65.03794795564208,65.03807384758753,65.03813801983796,65.03815845628081,65.03816273426179,65.03816421130053,65.03816522533253,65.03816549013598
2017-08-04,65.06525971755586,65.07008122261425,65.07221967092657,65.07247725070488,65.07261371545198,65.07268488792425,65.07270390788703,65.07270792064661,65.0727091283738,65.07271008158645,65.07271029255591
2017-08-07,64.64626540504156,64.65183841079974,64.65411141255618,64.65440187935779,64.65452598150534,64.6545948445794,64.65461578923883,64.65462077425836,64.65462222109244,64.65462317793471,64.65462339073126
2017-08-08,64.78131610543475,64.78517605407325,64.78737176264052,64.78763630359246,64.78774777348035,64.78780926654292,64.78782977596335,64.78783400047652,64.78783568765633,64.78783672373326,64.78783691857763
2017-08-09,64.72080487080444,64.72553282940962,64.72791581297372,64.72817667987565,64.72827572170759,64.72833587809312,64.7283589605509,64.72836354284425,64.72836540780543,64.72836653597324,64.72836678850094
2017-08-10,64.95462871488705,64.959177415137,64.96163073593567,64.96188657723083,64.96197536756897,64.96205532496163,64.96208254824981,64.96208718579835,64.96208974603796,64.96209106338956,64.96209143421945
2017-08-11,64.80758117951449,64.81160951173867,64.81398717332604,64.81435068832198,64.81448843815988,64.81456156417624,64.81457626338535,64.81457879783204,64.8145803257025,64.81458113645706,64.8145813256519
2017-08-14,64.91877343436076,64.92370099242618,64.92706998836869,64.92756382239698,64.92777827999511,64.92788602430034,64.9279073741536,64.92791219488232,64.92791459175794,64.9279159161331,64.92791622968612
2017-08-15,66.09492567938162,66.10092012829871,66.10277853765358,66.10338142062668,66.10362304511793,66.10371029111054,66.10373202146094,66.10373882364401,66.10374211792954,66.10374333953395,66.10374372708584
2017-08-16,66.26016802223809,66.2673945418233,66.26980971458153,66.27038179195755,66.27067371102396,66.2707809618705,66.27081099571411,66.27081642294873,66.270820376512,66.27082195181723,66.27082255866915
2017-08-17,66.21474895049029,66.22177808305362,66.2243703774577,66.22492345064744,66.22522084246943,66.22533166138518,66.22536884803294,66.22537475709174,66.22537929747732,66.22538113474872,66.22538192102489
2017-08-18,67.62348806709116,67.6330457767265,67.63571084158848,67.63641720348463,67.63686134339667,67.63702862717894,67.63708303597515,67.63709653781761,67.63710574953151,67.63710909425646,67.63711038834552
2017-08-21,67.6722658678863,67.67890864596647,67.6805761659308,67.68097824511118,67.68121494694549,67.68131783388507,67.68134425389854,67.68135014760229,67.68135467215109,67.68135645047141,67.68135701193337
2017-08-22,67.50955730676993,67.51650545376405,67.51785685112068,67.51823560703475,67.51842031234628,67.5185314986173,67.51855253897044,67.5185602065654,67.5185638661878,67.51856602901535,67.51856654345616
2017-08-23,67.81078368395735,67.81583324994206,67.81692899268262,67.81717499125773,67.81730343203246,67.81737462214208,67.81738989284588,67.8173944750883,67.8173968075629,67.81739794926014,67.81739827552072
2017-08-24,67.91201992977852,67.91702928106398,67.91810328271124,67.91839453098545,67.91851976560994,67.91859167461433,67.91860443068761,67.91861038467117,67.91861251296498,67.9186137268512,67.91861401141315
2017-08-25,67.99122642867822,67.99690554643337,67.99840519439866,67.99871393460178,67.99886359827987,67.99893770452013,67.9989544138507,67.99895950022817,67.99896220858591,67.99896340680543,67.99896372896566
2017-08-28,68.16583717451657,68.17135014225731,68.17277349543787,68.17302107059368,68.17315583170144,68.17322436264762,68.17323888251453,68.17324352171119,68.1732458727748,68.17324691542325,68.17324719369927
2017-08-29,68.19636394706627,68.2010762838963,68.20245673353917,68.20265546958693,68.20277838513805,68.20284170799302,68.20285582553302,68.20286017419906,68.2028625349277,68.20286344737421,68.2028637403315
2017-08-30,68.23891328667267,68.2434536203995,68.24482434437836,68.24507252296362,68.24520201370251,68.24526779700794,68.24528264853296,68.24528739683383,68.24528994771688,68.24529091019464,68.24529121566782
2017-08-31,68.20288796448729,68.2073810457479,68.20881705850145,68.20911600537954,68.20926373919653,68.2093369758619,68.20935416958922,68.20936032272006,68.20936343745248,68.2093645231686,68.20936487534489
2017-09-01,68.04491090997325,68.0490459795286,68.05021965935015,68.05050399315903,68.05065172461224,68.0507127684789,68.05072747806511,68.0507319741099,68.05073500052568,68.05073584073212,68.05073613393398
2017-09-04,67.83348139214415,67.83707134268441,67.83792939488572,67.8381269365496,67.83823029741498,67.8382742783193,67.83828595176077,67.8382887584971,67.83829059828747,67.83829112436871,67.8382913630729
2017-09-05,66.21695804543636,66.21999528646815,66.22059293129472,66.22087310848363,66.22096969247116,66.22099805865051,66.22100973107055,66.22101297460591,66.22101482674204,66.22101519526312,66.22101545293947
2017-09-06,66.16150767904446,66.16490713207128,66.16565722372381,66.16590702249529,66.16600594255533,66.16603118724592,66.1660447196701,66.1660476706443,66.16604981424516,66.16605018250256,66.1660505126496
2017-09-07,66.01962404312872,66.02201101775937,66.02266530837092,66.02295123166942,66.02302041900133,66.02303076036765,66.02303804210418,66.02303905668573,66.0230403746556,66.02304049186316,66.02304063816517
2017-09-08,65.8653914262125,65.86836045711243,65.86942748083922,65.86974878992673,65.86980578390984,65.8698194830109,65.86983057147212,65.86983200361485,65.86983322548386,65.86983336702745,65.86983353935786
2017-09-11,65.61506069793111,65.61758953394012,65.61831754263764,65.61851950133286,65.61854864668823,65.61856369433752,65.61857141017055,65.61857274642693,65.61857335737736,65.61857347326465,65.61857357704976
2017-09-12,65.97802869781506,65.98032343321917,65.98103209874829,65.98122534340402,65.9812583001685,65.9812709879562,65.98127987544338,65.98128114668704,65.98128187828209,65.98128198486502,65.98128208643224
