,L=1,L=2,L=3,L=4
2014-09-29,79.28134092761532,79.69092703881095,79.81951042272325,80.34224746033237
2014-09-30,79.30089157838111,79.7482572169402,79.76769337030628,80.36018624292119
2014-10-01,79.04758752177045,79.5993721594483,79.89182859203652,80.52328181330252
2014-10-02,78.84363070609854,79.4548913197158,79.85383413399903,80.50172616712452
2014-10-03,78.88349023620714,79.54886124794417,79.92933751104536,80.5081249476711
2014-10-06,78.91553210094654,79.48037464263903,79.9125673668933,80.63905084617176
2014-10-07,78.89884341190768,79.45102090302113,80.06934538230969,80.49233209603108
2014-10-08,79.00027224849744,79.91380568449877,80.24773046150428,80.6544913378024
2014-10-09,79.87513882341618,80.39534369285016,80.83501068213738,81.14147906934204
2014-10-10,79.94952964083159,80.62054350845867,81.10307262462236,81.2729263481335
2014-10-13,80.13171365591644,80.64351317848799,80.89618251368871,81.09203965162828
2014-10-14,80.09785415231565,80.72148215023371,81.23594490410156,81.297211820604
2014-10-15,80.58403673439064,81.15683531357993,81.89265945877082,82.20234587404896
2014-10-16,80.43604110894533,80.92112533734965,81.46063086229306,81.66831331172072
2014-10-17,80.49460406705225,80.82939369269558,81.50491012177069,81.72374624993446
2014-10-20,80.41876821792324,80.8193583021898,81.46504501922477,81.79063658081633
2014-10-21,80.32036188115447,80.79915015854783,81.48543826645923,81.90324242158337
2014-10-22,80.4413393068631,80.91463303322904,81.58115124218988,81.81116824292903
2014-10-23,80.1986351432063,80.67783721068777,81.46786927036284,81.75188687721996
2014-10-24,79.82264655758094,80.39830477347797,81.29928722880456,81.4123709506826
2014-10-27,79.81992985976838,80.42996996955722,81.13804243684366,81.42174651711484
2014-10-28,79.77801817373654,80.11788397119321,80.49978274633212,81.02820715245939
2014-10-29,79.70887240676888,79.70821638406575,79.99223142150223,81.01106451605577
2014-10-30,79.48242923923655,79.27574951971528,80.12223212164417,81.26770869539797
2014-10-31,78.75612157281094,79.33544822437143,80.12931330504604,81.42122885943802
2014-11-03,78.95669829966874,79.50174168205713,80.27694479372404,81.6318663160251
2014-11-04,78.84565706845052,79.52012007873498,80.34258799336178,81.91280237350239
2014-11-05,78.81668958580903,79.46408859592154,80.37792247625185,81.45294497879021
2014-11-06,78.87851706948369,79.53975765684001,80.14314819630435,81.42365094634087
2014-11-07,78.9435957179436,79.13862939365302,80.13655046790956,81.40285084717648
2014-11-10,78.49464236935711,78.89333046696694,80.09787445276598,81.49526124213206
2014-11-11,78.36501101434821,78.85758807139092,80.17632173793062,81.6102474163753
2014-11-12,78.32248033327181,78.8565480693053,80.1996022096387,81.49336329422063
2014-11-13,78.30078705351579,79.11787995302728,80.13425892638028,81.20194801593642
2014-11-14,78.34634608979077,78.97413943992422,79.95526030927024,81.10281861786106
2014-11-17,78.43798076941339,78.96767182671583,80.00767115828738,81.04598624686284
2014-11-18,78.31605867378056,78.91479956362778,79.92807635462331,81.0971927109192
2014-11-19,78.30374566019164,78.99323167129555,80.07458854711793,81.15826908770558
2014-11-20,78.30171991929001,78.99420194847964,80.01863291050768,81.08141192363712
2014-11-21,78.32103025175297,78.99401119011723,79.9048451063505,80.88763304038996
2014-11-24,78.28235959852564,78.86650985427362,79.72838284879509,80.88015098157997
2014-11-25,78.29677793638555,78.80565543114399,79.68737702290247,80.96563553079986
2014-11-26,78.22647540316743,78.80342205906429,79.69678834728549,80.83647880821697
2014-11-27,78.17857541209487,78.72598923829625,79.68725712540436,80.75220040478061
2014-11-28,78.14742884834864,78.86512610949485,79.83223375560674,80.80553552848403
2014-12-01,77.16045558297992,78.16385090928347,79.44934745666512,80.71089533880838
2014-12-02,76.90259538326154,78.07439597004692,79.17416454604339,80.29720843783772
2014-12-03,76.96509688879455,78.2668362868952,79.27902613068383,80.11506535082759
2014-12-04,77.27608289787395,78.65585229510609,79.278534557867,80.06116136996833
2014-12-05,77.26113622960315,78.5859271240786,79.16027946091049,80.0616779696806
2014-12-08,77.05337828468937,78.52382953564717,79.2945706704158,79.98732442241653
2014-12-09,76.69340468741233,78.50587221003795,79.30891792563499,80.0639869560386
2014-12-10,76.78049255772255,78.56546928194105,79.3105713800765,79.90989439669247
2014-12-11,76.53826310900833,78.88028825877858,79.46536367162244,80.11035425791351
2014-12-12,76.55880814912254,78.7919666527842,79.4056411205047,80.07407318707884
2014-12-15,76.54753447741123,78.8448154558031,79.47354000971843,79.87964566519027
2014-12-16,76.40007131338203,78.76437847366768,79.5447097134248,80.24200096574
2014-12-17,76.30603001522692,78.93583784482654,79.71312552173839,80.61501664751756
2014-12-18,76.8414379979913,79.50022178390313,80.26235279555596,80.77414521579887
2014-12-19,76.94166938245853,80.35859505416781,81.11274486471028,82.05146374524197
2014-12-22,76.97049160943385,79.76083540054601,80.63519426584892,81.75883337157612
2014-12-23,76.978727344034,79.80749930117105,80.46901262885443,81.44594270991519
2014-12-24,76.94394521763718,79.88151298548568,80.30405896543056,80.90546914933725
2014-12-25,76.98650413647516,79.77709010353617,80.28133127831612,80.92628791875156
2014-12-26,77.000012027603,79.81294172765536,80.39222571219207,80.92358537508522
2014-12-29,76.99296355363307,79.80598066410832,80.33194010062847,81.04004305399145
2014-12-30,76.94458067613272,79.68010855204064,80.25911746000034,80.87447499389904
2014-12-31,76.87345900483102,79.67104317411614,80.19713423503512,80.85134304745597
2015-01-01,76.8208700851476,79.44089704121285,80.14297807035751,80.72251198111553
2015-01-02,76.79606158476233,79.4436880842032,80.20800373946282,80.77999135748641
2015-01-05,76.77614749330822,79.57095960328952,80.24412013767083,80.6989905534099
2015-01-06,76.83453383465529,79.81619378041808,80.68062222660689,80.89216413211791
2015-01-07,76.99512848640947,79.89115762335177,80.91464317526861,81.04509164637422
2015-01-08,76.80137254725808,78.99199271770236,80.20270916404041,80.68550325576858
2015-01-09,76.85222611083285,79.32860087770553,80.45545630795783,80.92033147775265
2015-01-12,76.77505928765763,79.4032257126196,80.4531634875468,80.67917034568214
2015-01-13,77.02597768709522,79.05941278081605,79.91651932747365,80.5169978945245
2015-01-14,77.05450555634835,79.0153867744061,79.92257734738455,80.40386470231476
2015-01-15,76.81033114012135,78.77424988395738,79.46856248087111,80.4071582210905
2015-01-16,76.85297648022366,79.04008042555678,79.40271779086116,80.38576691927418
2015-01-19,77.12796639540068,79.22524884730998,79.54572068811405,80.59200531416705
